tool,sample_id,identity_threshold,nthresh,ntriage,rejection_threshold,strategy,total_reads,correct,incorrect,unassigned,assignment_rate,precision,recall,accuracy,f1_score,barcode_count,barcode_length,threshold,tool_key,assigned,total_processed
RandomBarcodes,RB_85K_36nt_t100_n8,,,,,,200000.0,107057.0,12.0,92931.0,53.5345,99.9888,53.5285,53.5285,69.72830398658652,85000,36,8.0,randombarcodes,107069.0,
RandomBarcodes,RB_85K_36nt_t100_n9,,,,,,200000.0,128407.0,159.0,71434.0,64.283,99.8763,64.2035,64.2035,78.16206537367793,85000,36,9.0,randombarcodes,128566.0,
QUIK,QUIK_21K_28nt_4mer_r5,,,,,,200000.0,85966.0,10.0,114024.0,42.988,99.9884,42.983,42.983,60.12113467728511,21000,28,5.0,quik,85976.0,
QUIK,QUIK_21K_28nt_4mer_r6,,,,,,200000.0,113828.0,174.0,85998.0,57.001,99.8474,56.914,56.914,72.50145665450806,21000,28,6.0,quik,114002.0,
QUIK,QUIK_21K_28nt_4mer_r7,,,,,,200000.0,134695.0,1383.0,63922.0,68.039,98.9837,67.3475,67.3475,80.1569968322239,21000,28,7.0,quik,136078.0,
QUIK,QUIK_21K_28nt_4mer_r8,,,,,,200000.0,148665.0,6603.0,44732.0,77.634,95.7474,74.3325,74.3325,83.69176616990013,21000,28,8.0,quik,155268.0,
QUIK,QUIK_21K_28nt_4mer_r9,,,,,,200000.0,154689.0,21249.0,24062.0,87.969,87.9224,77.3445,77.3445,82.29493100917365,21000,28,9.0,quik,175938.0,
QUIK,QUIK_21K_36nt_4mer_r5,,,,,,200000.0,114521.0,0.0,85479.0,57.2605,100.0,57.2605,57.2605,72.82248244155399,21000,36,5.0,quik,114521.0,
QUIK,QUIK_21K_36nt_4mer_r6,,,,,,200000.0,150653.0,1.0,49346.0,75.327,99.9993,75.3265,75.3265,85.92685470649499,21000,36,6.0,quik,150654.0,
QUIK,QUIK_21K_36nt_4mer_r7,,,,,,200000.0,174985.0,17.0,24998.0,87.501,99.9903,87.4925,87.4925,93.32484177481884,21000,36,7.0,quik,175002.0,
QUIK,QUIK_21K_36nt_4mer_r8,,,,,,200000.0,187253.0,108.0,12639.0,93.6805,99.9424,93.6265,93.6265,96.68141022240661,21000,36,8.0,quik,187361.0,
QUIK,QUIK_21K_36nt_4mer_r9,,,,,,200000.0,191755.0,705.0,7540.0,96.23,99.6337,95.8775,95.8775,97.71951756983744,21000,36,9.0,quik,192460.0,
QUIK,QUIK_42K_28nt_4mer_r5,,,,,,200000.0,84545.0,33.0,115422.0,42.289,99.961,42.2725,42.2725,59.41780765431492,42000,28,5.0,quik,84578.0,
QUIK,QUIK_42K_28nt_4mer_r6,,,,,,200000.0,111221.0,351.0,88428.0,55.786,99.6854,55.6105,55.6105,71.39344872208474,42000,28,6.0,quik,111572.0,
QUIK,QUIK_42K_28nt_4mer_r7,,,,,,200000.0,129620.0,2259.0,68121.0,65.9395,98.2871,64.81,64.81,78.11281685572581,42000,28,7.0,quik,131879.0,
QUIK,QUIK_42K_28nt_4mer_r8,,,,,,200000.0,141421.0,10659.0,47920.0,76.04,92.9912,70.7105,70.7105,80.334587210762,42000,28,8.0,quik,152080.0,
QUIK,QUIK_42K_28nt_4mer_r9,,,,,,200000.0,145790.0,31691.0,22519.0,88.7405,82.144,72.895,72.895,77.24362102438742,42000,28,9.0,quik,177481.0,
QUIK,QUIK_42K_36nt_4mer_r5,,,,,,200000.0,114374.0,0.0,85626.0,57.187,100.0,57.187,57.187,72.76301475312843,42000,36,5.0,quik,114374.0,
QUIK,QUIK_42K_36nt_4mer_r6,,,,,,200000.0,150333.0,3.0,49664.0,75.168,99.998,75.1665,75.1665,85.82218048748462,42000,36,6.0,quik,150336.0,
QUIK,QUIK_42K_36nt_4mer_r7,,,,,,200000.0,174154.0,34.0,25812.0,87.094,99.9805,87.077,87.077,93.08369884661133,42000,36,7.0,quik,174188.0,
QUIK,QUIK_42K_36nt_4mer_r8,,,,,,200000.0,186219.0,232.0,13549.0,93.2255,99.8756,93.1095,93.1095,96.37393952382853,42000,36,8.0,quik,186451.0,
